feature_filepath,feature_type,filepath,subset_filepath,label,split,channel,dataset,speaker_id,attack_id,attack_category,shape
data/features/logmel/train/LA_train_LA_T_3891170.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3891170.flac,data/subset_raw/LA_train_LA_T_3891170.flac,bonafide,train,clean,LA,LA_0085,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_3891170.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3891170.flac,data/subset_raw/LA_train_LA_T_3891170.flac,bonafide,train,clean,LA,LA_0085,-,bonafide,"[20, 400]"
data/features/logmel/test/LA_test_LA_T_2948101.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2948101.flac,data/subset_raw/LA_test_LA_T_2948101.flac,bonafide,test,clean,LA,LA_0097,-,bonafide,"[80, 400]"
data/features/mfcc/test/LA_test_LA_T_2948101.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2948101.flac,data/subset_raw/LA_test_LA_T_2948101.flac,bonafide,test,clean,LA,LA_0097,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8919107.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8919107.flac,data/subset_raw/LA_train_LA_T_8919107.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8919107.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8919107.flac,data/subset_raw/LA_train_LA_T_8919107.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_6650735.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6650735.flac,data/subset_raw/LA_train_LA_T_6650735.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_6650735.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6650735.flac,data/subset_raw/LA_train_LA_T_6650735.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[20, 400]"
data/features/logmel/test/LA_test_LA_T_5362691.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5362691.flac,data/subset_raw/LA_test_LA_T_5362691.flac,bonafide,test,clean,LA,LA_0086,-,bonafide,"[80, 400]"
data/features/mfcc/test/LA_test_LA_T_5362691.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5362691.flac,data/subset_raw/LA_test_LA_T_5362691.flac,bonafide,test,clean,LA,LA_0086,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_9132181.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9132181.flac,data/subset_raw/LA_train_LA_T_9132181.flac,bonafide,train,clean,LA,LA_0098,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_9132181.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9132181.flac,data/subset_raw/LA_train_LA_T_9132181.flac,bonafide,train,clean,LA,LA_0098,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_3517700.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3517700.flac,data/subset_raw/LA_train_LA_T_3517700.flac,bonafide,train,clean,LA,LA_0098,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_3517700.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3517700.flac,data/subset_raw/LA_train_LA_T_3517700.flac,bonafide,train,clean,LA,LA_0098,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_2502033.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2502033.flac,data/subset_raw/LA_train_LA_T_2502033.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_2502033.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2502033.flac,data/subset_raw/LA_train_LA_T_2502033.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8234497.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8234497.flac,data/subset_raw/LA_train_LA_T_8234497.flac,bonafide,train,clean,LA,LA_0090,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8234497.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8234497.flac,data/subset_raw/LA_train_LA_T_8234497.flac,bonafide,train,clean,LA,LA_0090,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8847275.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8847275.flac,data/subset_raw/LA_train_LA_T_8847275.flac,bonafide,train,clean,LA,LA_0094,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8847275.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8847275.flac,data/subset_raw/LA_train_LA_T_8847275.flac,bonafide,train,clean,LA,LA_0094,-,bonafide,"[20, 400]"
data/features/logmel/test/LA_test_LA_T_6175341.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6175341.flac,data/subset_raw/LA_test_LA_T_6175341.flac,bonafide,test,clean,LA,LA_0097,-,bonafide,"[80, 400]"
data/features/mfcc/test/LA_test_LA_T_6175341.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6175341.flac,data/subset_raw/LA_test_LA_T_6175341.flac,bonafide,test,clean,LA,LA_0097,-,bonafide,"[20, 400]"
